endpoint,role,fold,test_low_round,test_high_round,method,mse,mae,maximum_absolute_error
tensor_network_error_rate,development decoder,1,13,15,effective_toggle_persistence,6.62682936120719e-05,0.006093346502247498,0.02056330783607696
tensor_network_error_rate,development decoder,1,13,15,last_observed_rate,0.0022813335600000003,0.045154,0.06794
tensor_network_error_rate,development decoder,1,13,15,stationary_toggle_fit,0.00011492217304193736,0.009648272380676753,0.017278485092021456
tensor_network_error_rate,development decoder,1,13,15,ridge_extrapolation,0.0008609363735907286,0.027539300294985636,0.04527777818668893
tensor_network_error_rate,development decoder,2,15,17,effective_toggle_persistence,5.2590263556975685e-05,0.006044749617949319,0.01775594522059515
tensor_network_error_rate,development decoder,2,15,17,last_observed_rate,0.0018778376200000006,0.04091300000000001,0.06653999999999999
tensor_network_error_rate,development decoder,2,15,17,stationary_toggle_fit,0.00013548754596010563,0.010646481738963104,0.02269981304724733
tensor_network_error_rate,development decoder,2,15,17,ridge_extrapolation,0.0011397086730278033,0.031867936736958764,0.051213641856904746
tensor_network_error_rate,development decoder,3,17,19,effective_toggle_persistence,5.656502128701029e-05,0.00563339518186044,0.018763889198569972
tensor_network_error_rate,development decoder,3,17,19,last_observed_rate,0.0014485937399999994,0.03602899999999999,0.062060000000000004
tensor_network_error_rate,development decoder,3,17,19,stationary_toggle_fit,0.00013934163864152147,0.009728426069582019,0.023803245977286835
tensor_network_error_rate,development decoder,3,17,19,ridge_extrapolation,0.0015500937487960748,0.03721855263157884,0.061928413506138924
tensor_network_error_rate,development decoder,4,19,25,effective_toggle_persistence,9.004741258306439e-05,0.0067447706969381805,0.02606599844733537
tensor_network_error_rate,development decoder,4,19,25,last_observed_rate,0.00259257254,0.046713000000000005,0.08442
tensor_network_error_rate,development decoder,4,19,25,stationary_toggle_fit,0.0001403192915358743,0.010122555556056146,0.023143760991185036
tensor_network_error_rate,development decoder,4,19,25,ridge_extrapolation,0.004818406761286498,0.06465794760102053,0.11060834538511077
belief_matching_error_rate,confirmation decoder,1,13,15,effective_toggle_persistence,5.7950989152340066e-05,0.006173173773668749,0.01898758868487188
belief_matching_error_rate,confirmation decoder,1,13,15,last_observed_rate,0.00230891668,0.04561399999999999,0.06592
belief_matching_error_rate,confirmation decoder,1,13,15,stationary_toggle_fit,0.00011019621259144847,0.009373008680617462,0.01824383523282297
belief_matching_error_rate,confirmation decoder,1,13,15,ridge_extrapolation,0.0010154883284950792,0.03012291917404112,0.05206210057459015
belief_matching_error_rate,confirmation decoder,2,15,17,effective_toggle_persistence,5.538344805761611e-05,0.006180032806529445,0.017794533204230023
belief_matching_error_rate,confirmation decoder,2,15,17,last_observed_rate,0.00186199734,0.040559,0.06680000000000003
belief_matching_error_rate,confirmation decoder,2,15,17,stationary_toggle_fit,0.00013328518806792107,0.01011377792358038,0.02348814304858765
belief_matching_error_rate,confirmation decoder,2,15,17,ridge_extrapolation,0.0013365165578305823,0.034849241002060515,0.054834354263927965
belief_matching_error_rate,confirmation decoder,3,17,19,effective_toggle_persistence,6.947730120639908e-05,0.006737223926223501,0.022394854727644464
belief_matching_error_rate,confirmation decoder,3,17,19,last_observed_rate,0.0014396021799999998,0.035889000000000004,0.06573999999999997
belief_matching_error_rate,confirmation decoder,3,17,19,stationary_toggle_fit,0.0001295646155141429,0.008955407234906412,0.023472226005268493
belief_matching_error_rate,confirmation decoder,3,17,19,ridge_extrapolation,0.001795739495732332,0.04034292216456612,0.0602073681874612
belief_matching_error_rate,confirmation decoder,4,19,25,effective_toggle_persistence,8.936588813357735e-05,0.0067986664174848315,0.027101824141440023
belief_matching_error_rate,confirmation decoder,4,19,25,last_observed_rate,0.002331208820000001,0.04423800000000001,0.08034000000000002
belief_matching_error_rate,confirmation decoder,4,19,25,stationary_toggle_fit,0.00010270637969777378,0.008188055477979113,0.022442745869318492
belief_matching_error_rate,confirmation decoder,4,19,25,ridge_extrapolation,0.005488249767880678,0.0695243662286023,0.11670465472893055
