experiment,basis,distance,rounds,center_row,center_col,shots,actual_flip_rate,pymatching_error_rate,correlated_matching_error_rate,belief_matching_error_rate,tensor_network_error_rate
surface_code_bX_d3_r01_center_3_5,X,3,1,3,5,50000,0.0794,0.01588,0.01584,0.01622,0.01608
surface_code_bX_d3_r01_center_5_3,X,3,1,5,3,50000,0.09232,0.0184,0.0184,0.01904,0.01774
surface_code_bX_d3_r01_center_5_7,X,3,1,5,7,50000,0.07876,0.01646,0.0165,0.01636,0.01628
surface_code_bX_d3_r01_center_7_5,X,3,1,7,5,50000,0.08636,0.01702,0.01702,0.01702,0.01638
surface_code_bX_d3_r03_center_3_5,X,3,3,3,5,50000,0.19874,0.09056,0.08532,0.07996,0.0763
surface_code_bX_d3_r03_center_5_3,X,3,3,5,3,50000,0.23098,0.09118,0.08382,0.07942,0.0758
surface_code_bX_d3_r03_center_5_7,X,3,3,5,7,50000,0.20854,0.08628,0.08142,0.0728,0.06944
surface_code_bX_d3_r03_center_7_5,X,3,3,7,5,50000,0.21152,0.09186,0.08446,0.07834,0.0764
surface_code_bX_d3_r05_center_3_5,X,3,5,3,5,50000,0.28144,0.1565,0.14568,0.1304,0.12778
surface_code_bX_d3_r05_center_5_3,X,3,5,5,3,50000,0.3159,0.16306,0.14726,0.13836,0.13278
surface_code_bX_d3_r05_center_5_7,X,3,5,5,7,50000,0.30106,0.14738,0.13348,0.12038,0.11506
surface_code_bX_d3_r05_center_7_5,X,3,5,7,5,50000,0.31228,0.1569,0.14348,0.13198,0.12774
surface_code_bX_d3_r07_center_3_5,X,3,7,3,5,50000,0.34724,0.21394,0.198,0.17982,0.17424
surface_code_bX_d3_r07_center_5_3,X,3,7,5,3,50000,0.37658,0.21694,0.1985,0.1841,0.17696
surface_code_bX_d3_r07_center_5_7,X,3,7,5,7,50000,0.34912,0.19444,0.17832,0.15798,0.15028
surface_code_bX_d3_r07_center_7_5,X,3,7,7,5,50000,0.37762,0.21434,0.19746,0.18212,0.1776
surface_code_bX_d3_r09_center_3_5,X,3,9,3,5,50000,0.386,0.25948,0.24174,0.2164,0.21158
surface_code_bX_d3_r09_center_5_3,X,3,9,5,3,50000,0.41718,0.25872,0.23676,0.2235,0.21552
surface_code_bX_d3_r09_center_5_7,X,3,9,5,7,50000,0.3849,0.24124,0.2196,0.19588,0.18604
surface_code_bX_d3_r09_center_7_5,X,3,9,7,5,50000,0.40976,0.25272,0.22984,0.21408,0.2098
surface_code_bX_d3_r11_center_3_5,X,3,11,3,5,50000,0.41784,0.2957,0.28062,0.25672,0.25074
surface_code_bX_d3_r11_center_5_3,X,3,11,5,3,50000,0.44546,0.29884,0.27618,0.25632,0.2492
surface_code_bX_d3_r11_center_5_7,X,3,11,5,7,50000,0.42268,0.28012,0.25714,0.23454,0.22266
surface_code_bX_d3_r11_center_7_5,X,3,11,7,5,50000,0.43694,0.28902,0.26498,0.24802,0.24484
surface_code_bX_d3_r13_center_3_5,X,3,13,3,5,50000,0.4429,0.3271,0.30702,0.2834,0.27938
surface_code_bX_d3_r13_center_5_3,X,3,13,5,3,50000,0.45868,0.32808,0.30572,0.28912,0.28158
surface_code_bX_d3_r13_center_5_7,X,3,13,5,7,50000,0.45046,0.31478,0.29452,0.26772,0.25814
surface_code_bX_d3_r13_center_7_5,X,3,13,7,5,50000,0.45752,0.3224,0.30192,0.27562,0.27132
surface_code_bX_d3_r15_center_3_5,X,3,15,3,5,50000,0.4563,0.35814,0.33956,0.31632,0.31074
surface_code_bX_d3_r15_center_5_3,X,3,15,5,3,50000,0.4766,0.36086,0.33856,0.3182,0.31358
surface_code_bX_d3_r15_center_5_7,X,3,15,5,7,50000,0.4674,0.35188,0.32976,0.30046,0.28818
surface_code_bX_d3_r15_center_7_5,X,3,15,7,5,50000,0.47004,0.34112,0.3166,0.29162,0.28682
surface_code_bX_d3_r17_center_3_5,X,3,17,3,5,50000,0.47072,0.37778,0.36018,0.3369,0.33252
surface_code_bX_d3_r17_center_5_3,X,3,17,5,3,50000,0.47866,0.3874,0.3639,0.34006,0.33596
surface_code_bX_d3_r17_center_5_7,X,3,17,5,7,50000,0.47184,0.37936,0.35302,0.32716,0.3135
surface_code_bX_d3_r17_center_7_5,X,3,17,7,5,50000,0.4779,0.36644,0.34352,0.3222,0.31774
surface_code_bX_d3_r19_center_3_5,X,3,19,3,5,50000,0.47816,0.39584,0.38338,0.35348,0.35168
surface_code_bX_d3_r19_center_5_3,X,3,19,5,3,50000,0.48844,0.40284,0.38376,0.3655,0.35988
surface_code_bX_d3_r19_center_5_7,X,3,19,5,7,50000,0.48716,0.3851,0.36138,0.3398,0.3287
surface_code_bX_d3_r19_center_7_5,X,3,19,7,5,50000,0.48606,0.38872,0.369,0.34564,0.34126
surface_code_bX_d3_r21_center_3_5,X,3,21,3,5,50000,0.48508,0.41098,0.39408,0.37352,0.37018
surface_code_bX_d3_r21_center_5_3,X,3,21,5,3,50000,0.49346,0.41338,0.39186,0.37334,0.37156
surface_code_bX_d3_r21_center_5_7,X,3,21,5,7,50000,0.48556,0.41024,0.38976,0.36702,0.35778
surface_code_bX_d3_r21_center_7_5,X,3,21,7,5,50000,0.48844,0.40366,0.3842,0.36156,0.35728
surface_code_bX_d3_r23_center_3_5,X,3,23,3,5,50000,0.48626,0.42392,0.40862,0.38716,0.38462
surface_code_bX_d3_r23_center_5_3,X,3,23,5,3,50000,0.49566,0.43564,0.41592,0.39926,0.39568
surface_code_bX_d3_r23_center_5_7,X,3,23,5,7,50000,0.48922,0.42116,0.39862,0.37736,0.36958
